cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
rsntds;swflx;;W m-2;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;shortwave flux into ocean (>0 heats ocean);net_downward_shortwave_flux_at_sea_water_surface
sfdsi;sfc_salt_flux_ice;;kg m-2 s-1;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;sfc_salt_flux_ice;downward_sea_ice_basal_salt_flux
sfriver;sfc_salt_flux_runoff;;kg m-2 s-1;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;sfc_salt_flux_runoff;salt_flux_into_sea_water_from_rivers
sob;bottom_salt;;psu;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;Practical Salinity;sea_water_salinity_at_sea_floor
so;salt;;psu;time st_ocean yt_ocean xt_ocean;longitude latitude olevel time;mon;ocean;area: time: mean;;MIP_OPmonLev;CM2;float32;21600000;708;ocean_month.nc-;Practical Salinity;sea_water_salinity
so;salt;;psu;time st_ocean yt_ocean xt_ocean;longitude latitude olevel time;day;ocean;area: time: mean;;CM2_day;CM2;float32;21600000;708;ocean_daily.nc-;Practical Salinity;sea_water_salinity
sos;sss;;psu;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;Practical Salinity;sea_surface_salinity
sos;sss;;psu;time yt_ocean xt_ocean;longitude latitude time;day;ocean;area: time: mean;;MIP_OPday;CM2;float32;432000;708;ocean_daily.nc-;Practical Salinity;sea_surface_salinity
tauuo;tau_x;;N m-2;time yu_ocean xu_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;i-directed wind stress forcing u-velocity;downward_x_stress_at_sea_water_surface
tauvo;tau_y;;N m-2;time yu_ocean xu_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;j-directed wind stress forcing v-velocity;downward_y_stress_at_sea_water_surface
tendkpp;temp_nonlocal_KPP;;W m-2;time st_ocean yt_ocean xt_ocean;longitude latitude olevel time;mon;ocean;area: time: mean;;CM2_mon;CM2;float32;21600000;36;ocean_month.nc-;cp*rho*dzt*nonlocal tendency from KPP;
thetao;pot_temp;K_degC(var[0]);K;time st_ocean yt_ocean xt_ocean;longitude latitude olevel time;mon;ocean;area: time: mean;;MIP_OPmonLev;CM2;float32;21600000;708;ocean_month.nc-;Potential temperature;sea_water_potential_temperature
thetao;pot_temp;K_degC(var[0]);K;time st_ocean yt_ocean xt_ocean;longitude latitude olevel time;day;ocean;area: time: mean;;CM2_day;CM2;float32;21600000;708;ocean_daily.nc-;Potential temperature;sea_water_potential_temperature
thkcello;dht;;m;time st_ocean yt_ocean xt_ocean;longitude latitude olevel time;mon;ocean;area: time: mean;;MIP_OPmonLev;CM2;float32;21600000;708;ocean_month.nc-;t-cell thickness;cell_thickness
tos;sst;K_degC(var[0]);K;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;Potential temperature;sea_surface_temperature
tos;sst;K_degC(var[0]);K;time yt_ocean xt_ocean;longitude latitude time;day;ocean;area: time: mean;;MIP_OPday;CM2;float32;432000;708;ocean_daily.nc-;Potential temperature;sea_surface_temperature
tos;sst;K_degC(var[0]);K;time yt_ocean xt_ocean;longitude latitude time1;6hr;ocean;area: time: mean;;CM2_6hr;CM2;float32;432000;708;ocean_month.nc-;Potential temperature;sea_surface_temperature
umo;tx_trans;;kg/s;time st_ocean yt_ocean xu_ocean;longitude latitude olevel time;mon;ocean;area: time: mean;;MIP_OPmonLev;CM2;float32;21600000;708;ocean_month.nc-;T-cell i-mass transport;ocean_x_mass_transport
uo;u;;m s-1;time st_ocean yu_ocean xu_ocean;longitude latitude olevel time;mon;ocean;area: time: mean;;MIP_OPmonLev;CM2;float32;21600000;708;ocean_month.nc-;i-current;sea_water_x_velocity
uo;u;;m s-1;time st_ocean yu_ocean xu_ocean;longitude latitude olevel time;day;ocean;area: time: mean;;CM2_day;CM2;float32;21600000;708;ocean_daily.nc-;i-current;sea_water_x_velocity
vmo;ty_trans;;kg/s;time st_ocean yu_ocean xt_ocean;longitude latitude olevel time;mon;ocean;area: time: mean;;MIP_OPmonLev;CM2;float32;21600000;708;ocean_month.nc-;T-cell j-mass transport;ocean_y_mass_transport
vo;v;;m s-1;time st_ocean yu_ocean xu_ocean;longitude latitude olevel time;mon;ocean;area: time: mean;;MIP_OPmonLev;CM2;float32;21600000;708;ocean_month.nc-;j-current;sea_water_y_velocity
vo;v;;m s-1;time st_ocean yu_ocean xu_ocean;longitude latitude olevel time;day;ocean;area: time: mean;;CM2_day;CM2;float32;21600000;708;ocean_daily.nc-;j-current;sea_water_y_velocity
wfo;pme_river;;kg m-2 s-1;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;mass flux of precip-evap+river via sbc (liquid, frozen, evaporation);water_flux_into_sea_water
wmo;tz_trans;;kg s-1;time sw_ocean yt_ocean xt_ocean;longitude latitude olevel time;mon;ocean;area: time: mean;;MIP_OPmonLev;CM2;float32;21600000;708;ocean_month.nc-;T-cell k-mass transport;upward_ocean_mass_transport
wo;wt;;m/sec;time sw_ocean yt_ocean xt_ocean;longitude latitude olevel time;mon;ocean;area: time: mean;;MIP_OPmonLev;CM2;float32;21600000;708;ocean_month.nc-;dia-surface velocity T-points;upward_sea_water_velocity
wo;wt;;m/sec;time sw_ocean yt_ocean xt_ocean;longitude latitude olevel time;day;ocean;area: time: mean;;CM2_day;CM2;float32;21600000;708;ocean_daily.nc-;dia-surface velocity T-points;upward_sea_water_velocity
zos;sea_level;;m;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;effective sea level (eta_t + patm/(rho0*g)) on T cells;sea_surface_height_above_geoid
zossq;sea_level_sq;;m2;time yt_ocean xt_ocean;longitude latitude time;mon;ocean;area: time: mean;;MIP_OPmon;CM2;float32;432000;708;ocean_month.nc-;square of effective sea level (eta_t + patm/(rho0*g)) on T cells;square_of_sea_surface_height_above_geoid
zostoga;pot_temp dht;calc_zostoga(var[0], var[1]);m;time st_ocean yt_ocean xt_ocean;time;mon;ocean;area: mean where sea time: mean;;MIP_OPmon;CM2;float32;21600000;708;ocean_month.nc-;Global Average Thermosteric Sea Level Change;global_average_thermosteric_sea_level_change
