cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
hursmax;fld_s03i245_max;;%;time lat lon;longitude latitude time height1.5m;day;atmos;area: time: maximum;;CM2_day;CM2;float32;110592;74772;cm000a.pd;RELATIVE HUMIDITY AT 1.5M;relative_humidity
hursmax;fld_s03i245_max;;%;time lat lon;longitude latitude time height2m;day;atmos;area: time: maximum;;MIP_APday;CM2;float32;110592;74772;cm000a.pd;RELATIVE HUMIDITY AT 1.5M;relative_humidity
hursmin;fld_s03i245_min;;%;time lat lon;longitude latitude time height1.5m;day;atmos;area: time: minimum;;CM2_day;CM2;float32;110592;74772;cm000a.pd;RELATIVE HUMIDITY AT 1.5M;relative_humidity
hursmin;fld_s03i245_min;;%;time lat lon;longitude latitude time height2m;day;atmos;area: time: minimum;;MIP_APday;CM2;float32;110592;74772;cm000a.pd;RELATIVE HUMIDITY AT 1.5M;relative_humidity
hur19uvgrid;fld_s30i206;;%;time pressure lat_v lon_u;gridlongitude gridlatitude plev19 time;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;2115840;12;cw323a.pm;RELATIVE HUMIDITY ON P LEV/UV GRID;relative_humidity
hus;fld_s00i010;level_to_height(var[0]);1;time model_theta_level_number lat lon;longitude latitude alevel time;mon;atmos;area: time: mean;;MIP_APmonLev;CM2;float32;9400320;12;cw323a.pm;SPECIFIC HUMIDITY AFTER TIMESTEP;specific_humidity
hus19;fld_s30i295;;1;time pressure lat lon;longitude latitude plev19 time;mon;atmos;area: time: mean;;MIP_APmon;CM2;float32;2101248;12;cw323a.pm;SPECIFIC HUMIDITY ON P LEV/T GRID;specific_humidity
hus19;fld_s30i295;;1;time pressure lat lon;longitude latitude plev19 time;day;atmos;area: time: mean;;MIP_APday;CM2;float32;884736;74772;cm000a.pd;SPECIFIC HUMIDITY ON P LEV/T GRID;specific_humidity
hus8;fld_s30i295;;1;time pressure lat lon;longitude latitude plev8 time;day;atmos;area: time: mean;;MIP_APday;CM2;float32;884736;74772;cm000a.pd;SPECIFIC HUMIDITY ON P LEV/T GRID;specific_humidity
huss;fld_s03i237;;1;time lat lon;longitude latitude time height1.5m;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;110592;12;cw323a.pm;SPECIFIC HUMIDITY  AT 1.5M;specific_humidity
huss;fld_s03i237;;1;time lat lon;longitude latitude time height2m;mon;atmos;area: time: mean;;MIP_APmon;CM2;float32;110592;12;cw323a.pm;SPECIFIC HUMIDITY  AT 1.5M;specific_humidity
huss;fld_s03i237;;1;time lat lon;longitude latitude time height1.5m;3hrPt;atmos;area: time: point;;CM2_3hr;CM2;float32;110592;578880;cm000a.p8;SPECIFIC HUMIDITY  AT 1.5M;specific_humidity
huss;fld_s03i237;;1;time lat lon;longitude latitude time height2m;3hrPt;atmos;area: time: point;;MIP_AP3hrPt;CM2;float32;110592;578880;cm000a.p8;SPECIFIC HUMIDITY  AT 1.5M;specific_humidity
huss;fld_s03i237;;1;time lat lon;longitude latitude time height1.5m;day;atmos;area: time: mean;;CM2_day;CM2;float32;110592;74772;cm000a.pd;SPECIFIC HUMIDITY  AT 1.5M;specific_humidity
huss;fld_s03i237;;1;time lat lon;longitude latitude time height2m;day;atmos;area: time: mean;;MIP_APday;CM2;float32;110592;74772;cm000a.pd;SPECIFIC HUMIDITY  AT 1.5M;specific_humidity
hus19uvgrid;fld_s30i205;;1;time pressure lat_v lon_u;gridlongitude gridlatitude plev19 time;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;2115840;12;cw323a.pm;SPECIFIC HUMIDITY ON P LEV/UV GRID;specific_humidity
intuaw;fld_s30i428;;kg m-1 s-1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;CM2;float32;110592;12;cw323a.pm;dry mass col int u*q  per unit area;eastward_atmosphere_water_transport_across_unit_distance
intvaw;fld_s30i429;;kg m-1 s-1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;CM2;float32;110592;12;cw323a.pm;dry mass col int v*q  per unit area;northward_atmosphere_water_transport_across_unit_distance
# double check the integral could be columnmassflux variable in MIP_APmon
#mc;fld_s05i250 fld_s05i251;level_to_height((var[0]-var[1])/9.80665);kg m-2 s-1;time model_theta_level_number lat lon;longitude latitude alevel time;mon;atmos;;up;CM2_mon;CM2;float32;9400320;2081;cm000a.pm;Convective Mass Flux;atmosphere_net_upward_convective_mass_flux
pfull;fld_s00i408;level_to_height(var[0]);Pa;time model_theta_level_number lat lon;longitude latitude alevel time;mon;aerosol;area: time: mean;;MIP_AEmonLev;CM2;float32;9400320;12;cw323a.pm;PRESSURE AT THETA LEVELS AFTER TS;air_pressure
phalf;fld_s00i407;level_to_height(var[0]);Pa;time model_rho_level_number lat lon;longitude latitude alevhalf time;mon;aerosol;area: time: mean;;MIP_AEmonLev;CM2;float32;9400320;12;cw323a.pm;PRESSURE AT RHO LEVELS AFTER TS;air_pressure
