cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
mrrob;fld_s08i235;;kg m-2 s-1;time lat lon;longitude latitude time;mon;land;area: time: mean;;AM3_Amon;ESM1.5;float32;110592;12;cw323a.pm;SUB-SURFACE RUNOFF RATE KG/M2/S; subsurface_runoff_flux
mrro;fld_s08i234 fld_s08i235;sum_vars(var);kg m-2 s-1;time lat lon;longitude latitude time;mon;land;area: mean where land time: mean;;MIP_LPmon;ESM1.5;float32;110592;12;cw323a.pm;Total Runoff;runoff_flux
mrros;fld_s08i234;;kg m-2 s-1;time lat lon;longitude latitude time;mon;land;area: time: mean;;MIP_LPmon;ESM1.5;float32;110592;12;cw323a.pm;SURFACE RUNOFF RATE          KG/M2/S;surface_runoff_flux
mrsfl;fld_s08i223 fld_s08i230;var[0]*var[1];kg m-2;time depth lat lon;longitude latitude sdepth time;mon;land;area: mean where land time: mean;;MIP_LPmon;ESM1.5;float32;663552;12;cw323a.pm;Frozen Water Content of Soil Layer;frozen_water_content_of_soil_layer
mrsll;fld_s08i223 fld_s08i229;var[0]*var[1];kg m-2;time depth lat lon;longitude latitude sdepth time;mon;land;area: mean where land time: mean;;MIP_LPmon;ESM1.5;float32;663552;12;cw323a.pm;Liquid Water Content of Soil Layer;liquid_water_content_of_soil_layer
mrso;fld_s08i223;var[0].sum(dim='depth');kg m-2;time lat lon;longitude latitude time;mon;land;area: time: mean;;MIP_LPmon;ESM1.5;float32;110592;12;cw323a.pm;SOIL MOISTURE CONTENT;mass_content_of_water_in_soil
mrsol;fld_s08i223;;kg m-2;time depth lat lon;longitude latitude sdepth time;mon;land;area: time: mean;;MIP_LPmon;ESM1.5;float32;663552;12;cw323a.pm;SOIL MOISTURE CONTENT IN A LAYER;mass_content_of_water_in_soil_layer
mrsos;fld_s08i223;calc_topsoil(var[0]);kg m-2;time depth lat lon;longitude latitude time sdepth1;mon;land;area: mean where land time: mean;;MIP_LPmon;ESM1.5;float32;663552;12;cw323a.pm;Moisture in Upper Portion of Soil Column;mass_content_of_water_in_soil_layer
nep;fld_s03i262 fld_s03i293;var[0]-var[1];kg m-2 s-1;time lat lon;longitude latitude time;mon;land;area: mean where land time: mean;down;MIP_LPmon;ESM1.5;float32;110592;12;cw323a.pm;Net Carbon Mass Flux out of Atmosphere Due to Net Ecosystem Productivity on Land [kgC m-2 s-1];surface_net_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_all_land_processes_excluding_anthropogenic_land_use_change
npp;fld_s03i262;;kg m-2 s-1;time lat lon;longitude latitude time;mon;land;area: time: mean;down;MIP_LPmon;ESM1.5;float32;110592;12;cw323a.pm;NET PRIMARY PRODUCTIVITY KG C/M2/S;net_primary_productivity_of_biomass_expressed_as_carbon
nwdFracLut;fld_s03i317 fld_s03i395;landuse_frac(var[0],landfrac=var[1],nwd=1);1;time pseudo_level_1 lat lon;longitude latitude landUse time typenwd;mon;land;area: time: mean;;MIP_LPmon;ESM1.5;float32;1880064;12;cw323a.pm;SURFACE TILE FRACTIONS;
orog;fld_s00i033;var[0].isel(time=0);m;time lat lon;longitude latitude;fx;land;area: mean;;MIP_LPfx;ESM1.5;float32;110592;12;cw323a.pm;Surface Altitude;surface_altitude
orog;surface_altitude;;m;time lat lon;longitude latitude;fx;land;area: time: mean;;MIP_LPfx;ESM1.5;float32;110592;12;cw323a.pm;OROGRAPHY (/STRAT LOWER BC);surface_altitude
ra;fld_s03i263;;kg m-2 s-1;time lat lon;longitude latitude time;mon;land;area: time: mean;up;MIP_LPmon;ESM1.5;float32;110592;12;cw323a.pm;PLANT RESPIRATION KG/M2/S;plant_respiration_carbon_flux
residualFrac;fld_s03i317 fld_s03i395;extract_tilefrac(var[0],[15,16,17],landfrac=var[1],lev='typeresidual');1;time pseudo_level_1 lat lon;longitude latitude time typeresidual;mon;land;area: mean where land over all_area_types time: mean;;MIP_LPmon;ESM1.5;float32;1880064;12;cw323a.pm;Percentage of Grid Cell That Is Land but neither Vegetation Covered nor Bare Soil;area_fraction
rh;fld_s03i293;;kg m-2 s-1;time lat lon;longitude latitude time;mon;land;area: time: mean;up;MIP_LPmon;ESM1.5;float32;110592;12;cw323a.pm;SOIL RESPIRATION           KG C/M2/S;soil_respiration_carbon_flux
sbl;fld_s03i298;;kg m-2 s-1;time lat lon;longitude latitude time;mon;landIce;area: mean where land time: mean;;CMIP6_LImon;ESM1.5;float32;110592;12;cw323a.pm;SUBLIM. SURFACE (GBM) : RATE KG/M2/S;surface_snow_and_ice_sublimation_flux
