cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
huss;fld_s03i237;;1;time lat lon;longitude latitude time height1.5m;mon;atmos;area: time: mean;;CM2_mon;AM3;float32;110592;480;di787a.pm;SPECIFIC HUMIDITY  AT 1.5M;specific_humidity
huss;fld_s03i237;;1;time lat lon;longitude latitude time height2m;mon;atmos;area: time: mean;;MIP_APmon;AM3;float32;110592;480;di787a.pm;SPECIFIC HUMIDITY  AT 1.5M;specific_humidity
hus17uvgrid;fld_s30i205;;1;time pressure lat_v lon_u;gridlongitude gridlatitude plev17 time;mon;atmos;area: time: mean;;AM3_Amon;AM3;float32;1893120;480;di787a.pa;SPECIFIC HUMIDITY ON P LEV/UV GRID;specific_humidity
intuaw;fld_s30i428;;kg m-1 s-1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;AM3;float32;110592;480;di787a.pm;dry mass col int u*q  per unit area;
intvaw;fld_s30i429;;kg m-1 s-1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;AM3;float32;110592;480;di787a.pm;dry mass col int v*q  per unit area;
pfull;fld_s00i408;level_to_height(obj,var[0]);Pa;time model_theta_level_number lat lon;longitude latitude alevel time;mon;aerosol;area: time: mean;;MIP_AEmonLev;AM3;float32;9400320;12;cw323a.pm;PRESSURE AT THETA LEVELS AFTER TS;air_pressure
phalf;fld_s00i407;level_to_height(obj,var[0]);Pa;time model_rho_level_number lat lon;longitude latitude alevhalf time;mon;aerosol;area: time: mean;;MIP_AEmonLev;AM3;float32;9400320;12;cw323a.pm;PRESSURE AT RHO LEVELS AFTER TS;air_pressure
pr;fld_s05i216;;kg m-2 s-1;time lat lon;longitude latitude time;day;atmos;area: time: mean;;MIP_APday;AM3;float32;110592;14400;di787a.pd;TOTAL PRECIPITATION RATE     KG/M2/S;precipitation_flux
pr;fld_s05i216;;kg m-2 s-1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;MIP_APmon;AM3;float32;110592;480;di787a.pm;TOTAL PRECIPITATION RATE     KG/M2/S;precipitation_flux
prlsns;fld_s04i204;;kg m-2 s-1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;CM2_mon;AM3;float32;110592;480;di787a.pm;LARGE SCALE SNOWFALL RATE    KG/M2/S;stratiform_snowfall_flux
prlsprof;fld_s04i203;;kg m-2 s-1;time lat lon;longitude latitude time;mon;atmos;area: time: mean;;CM2_mon;AM3;float32;110592;480;di787a.pm;LARGE SCALE RAINFALL RATE    KG/M2/S;stratiform_rainfall_flux
